ts,kv,compute,throughput,latency,is_prefill,num_seqs,seq_id
02:09:35.987,,,,,True,64,
02:09:36.125,10.6,1,1977.9,0.286157,,,
02:09:36.177,10.6,1,1214.6,0.052693,,,
02:09:36.227,10.6,83,1268.0,0.050472,,,
02:09:36.277,10.6,83,1278.5,0.05006,,,
02:09:36.327,10.6,83,1268.9,0.050437,,,
02:09:36.378,10.6,83,1280.1,0.049996,,,
02:09:36.427,10.6,70,1281.1,0.049958,,,
02:09:36.478,10.6,70,1271.0,0.050353,,,
02:09:36.528,21.2,70,1274.0,0.050236,,,
02:09:36.579,21.2,70,1272.5,0.050295,,,
02:09:36.628,21.2,70,1274.9,0.050202,,,
02:09:36.679,21.2,70,1273.4,0.05026,,,
02:09:36.729,20.9,70,1274.3,0.050224,,,
02:09:36.733,,,,,True,1,
02:09:36.763,21.0,70,255.3,0.92526,,,
02:09:36.812,21.0,74,1335.2,0.083186,,,
02:09:36.863,21.0,74,1271.9,0.05032,,,
02:09:36.913,21.0,74,1273.0,0.050274,,,
02:09:36.963,21.0,74,1281.9,0.049925,,,
02:09:37.013,21.0,70,1280.3,0.049989,,,
02:09:37.063,21.0,70,1267.2,0.050503,,,
02:09:37.203,21.0,39,459.6,0.139261,,,
02:09:37.252,21.2,39,1301.2,0.049185,,,
02:09:37.302,21.2,39,1276.9,0.050121,,,
02:09:37.352,21.2,39,1268.9,0.050437,,,
02:09:37.403,21.2,70,1268.0,0.050473,,,
02:09:37.453,31.6,70,1269.4,0.050416,,,
02:09:37.503,31.6,70,1275.9,0.050163,,,
02:09:37.553,31.6,70,1288.7,0.049663,,,
02:09:37.617,31.6,70,1276.9,0.050122,,,
02:09:37.666,31.6,70,1022.2,0.062608,,,
02:09:37.715,31.6,70,1291.7,0.049547,,,
02:09:37.765,31.6,70,1271.7,0.050328,,,
02:09:37.816,31.6,65,1269.3,0.050422,,,
02:09:37.866,31.6,65,1268.3,0.050461,,,
02:09:37.917,31.6,65,1274.3,0.050225,,,
02:09:37.967,31.6,65,1277.4,0.050103,,,
02:09:38.017,31.6,70,1283.8,0.049853,,,
02:09:38.067,31.8,70,1260.1,0.05079,,,
02:09:38.119,31.8,70,1252.2,0.051111,,,
02:09:38.170,31.8,70,1250.8,0.051168,,,
02:09:38.220,31.8,69,1270.4,0.050379,,,
02:09:38.270,42.2,69,1274.4,0.050221,,,
02:09:38.321,42.2,69,1277.8,0.050084,,,
02:09:38.370,42.2,69,1277.0,0.050118,,,
02:09:38.421,42.2,70,1273.6,0.050252,,,
02:09:38.471,42.2,70,1277.8,0.050086,,,
02:09:38.522,41.6,70,1256.7,0.050926,,,
02:09:38.525,,,,,True,1,
02:09:38.555,41.7,70,263.3,2.716896,,,
02:09:38.605,41.1,74,1322.2,0.082589,,,
02:09:38.607,,,,,True,1,
02:09:38.638,41.2,74,262.8,2.799527,,,
02:09:38.688,41.2,74,1300.8,0.083447,,,
02:09:38.739,41.2,74,1261.6,0.050728,,,
02:09:38.789,41.2,74,1262.5,0.050694,,,
02:09:38.840,41.2,66,1264.7,0.050606,,,
02:09:38.891,41.2,66,1265.6,0.050567,,,
02:09:38.942,41.4,66,1249.1,0.051237,,,
02:09:39.002,41.6,71,1145.4,0.055875,,,
02:09:39.051,41.7,71,1186.4,0.053942,,,
02:09:39.099,41.7,71,1345.7,0.047558,,,
02:09:39.150,51.8,71,1259.9,0.050797,,,
02:09:39.207,51.8,71,1147.4,0.055776,,,
02:09:39.256,51.0,71,1259.9,0.050799,,,
02:09:39.258,,,,,True,1,
02:09:39.288,51.2,71,269.9,3.450638,,,
02:09:39.335,51.2,71,1401.4,0.079014,,,
02:09:39.386,51.2,71,1257.8,0.050882,,,
02:09:39.438,51.2,68,1238.1,0.051691,,,
02:09:39.489,51.2,68,1259.6,0.050812,,,
02:09:39.540,51.2,68,1263.4,0.050658,,,
02:09:39.591,51.2,68,1249.4,0.051227,,,
02:09:39.644,51.2,70,1205.0,0.053112,,,
02:09:39.695,51.3,70,1254.4,0.05102,,,
02:09:39.746,51.3,70,1247.2,0.051315,,,
02:09:39.801,51.5,71,1189.6,0.053799,,,
02:09:39.852,51.7,71,1242.5,0.051509,,,
02:09:39.903,51.8,71,1246.1,0.05136,,,
02:09:39.953,51.8,71,1265.9,0.050558,,,
02:09:40.004,61.8,71,1251.4,0.051145,,,
02:09:40.056,60.8,71,1246.3,0.051353,,,
02:09:40.059,,,,,True,1,
02:09:40.090,60.9,71,254.6,4.252076,,,
02:09:40.140,60.9,71,1311.6,0.084148,,,
02:09:40.192,59.9,71,1239.1,0.05165,,,
02:09:40.195,,,,,True,1,
02:09:40.229,60.1,67,236.8,4.390513,,,
02:09:40.279,60.1,67,1302.3,0.087151,,,
02:09:40.331,59.1,67,1238.3,0.051683,,,
02:09:40.334,,,,,True,1,
02:09:40.364,59.3,67,258.7,4.526106,,,
02:09:40.414,59.3,75,1325.5,0.083068,,,
02:09:40.465,59.3,75,1246.3,0.05135,,,
02:09:40.516,59.3,75,1255.4,0.050981,,,
02:09:40.567,59.4,75,1251.5,0.051137,,,
02:09:40.618,59.6,70,1264.1,0.050631,,,
02:09:40.669,59.8,70,1258.1,0.050872,,,
02:09:40.720,59.9,70,1254.4,0.05102,,,
02:09:40.773,60.3,70,1196.5,0.053488,,,
02:09:40.824,60.4,69,1262.7,0.050686,,,
02:09:40.878,60.4,69,1197.6,0.05344,,,
02:09:40.930,69.9,69,1222.8,0.052341,,,
02:09:40.982,69.9,69,1231.3,0.051976,,,
02:09:41.033,69.9,67,1251.0,0.051158,,,
02:09:41.084,69.9,67,1235.9,0.051782,,,
02:09:41.134,69.9,67,1297.6,0.049323,,,
02:09:41.184,69.9,67,1270.2,0.050384,,,
02:09:41.236,69.9,71,1240.4,0.051596,,,
02:09:41.284,69.9,71,1312.8,0.048752,,,
02:09:41.332,69.9,71,1344.7,0.047596,,,
02:09:41.386,70.0,71,1180.1,0.054235,,,
02:09:41.439,70.2,71,1220.5,0.052436,,,
02:09:41.492,70.4,71,1200.7,0.053301,,,
02:09:41.539,70.5,71,1344.7,0.047594,,,
02:09:41.587,70.9,71,1349.0,0.047443,,,
02:09:41.640,71.0,72,1220.2,0.052451,,,
02:09:41.692,71.0,72,1223.1,0.052326,,,
02:09:41.744,80.5,72,1220.3,0.052446,,,
02:09:41.799,80.5,72,1209.9,0.052897,,,
02:09:41.853,80.5,72,1151.4,0.055584,,,
02:09:41.903,79.1,72,1274.9,0.050201,,,
02:09:41.905,,,,,True,1,
02:09:41.936,79.3,72,268.9,6.097273,,,
02:09:41.982,79.3,72,1388.5,0.079566,,,
02:09:42.030,79.3,72,1341.0,0.047727,,,
02:09:42.083,79.3,72,1222.3,0.052362,,,
02:09:42.136,79.3,72,1207.9,0.052985,,,
02:09:42.189,79.3,72,1211.0,0.052849,,,
02:09:42.245,79.5,68,1141.8,0.056054,,,
02:09:42.297,78.3,68,1221.3,0.052404,,,
02:09:42.301,,,,,True,1,
02:09:42.332,78.5,68,253.0,6.493283,,,
02:09:42.384,77.5,68,1250.5,0.086758,,,
02:09:42.387,,,,,True,1,
02:09:42.418,77.6,71,257.6,6.579373,,,
02:09:42.469,77.8,71,1277.5,0.085028,,,
02:09:42.521,78.1,71,1223.3,0.052317,,,
02:09:42.574,78.3,71,1216.6,0.052607,,,
02:09:42.627,78.3,71,1194.5,0.053578,,,
02:09:42.686,85.8,71,1096.8,0.05835,,,
02:09:42.689,,,,,True,1,
02:09:42.719,85.9,71,260.0,6.880914,,,
02:09:42.772,85.9,71,1252.9,0.085693,,,
02:09:42.828,86.1,72,1137.5,0.056262,,,
02:09:42.883,86.3,72,1148.4,0.05573,,,
02:09:42.936,86.3,72,1214.9,0.05268,,,
02:09:42.991,83.9,72,1160.2,0.055165,,,
02:09:42.995,,,,,True,2,
02:09:43.028,84.3,71,479.8,7.189333,,,
02:09:43.082,82.8,71,1207.0,0.090544,,,
02:09:43.085,,,,,True,1,
02:09:43.116,82.9,71,260.0,7.276943,,,
02:09:43.169,81.5,71,1204.5,0.087755,,,
02:09:43.173,,,,,True,1,
02:09:43.203,81.6,75,261.2,7.364516,,,
02:09:43.257,81.8,75,1218.6,0.086974,,,
02:09:43.311,80.5,75,1176.3,0.054407,,,
02:09:43.314,,,,,True,1,
02:09:43.344,80.6,75,261.2,7.505887,,,
02:09:43.399,80.6,75,1224.3,0.086738,,,
02:09:43.455,79.5,75,1112.0,0.057552,,,
02:09:43.459,,,,,True,1,
02:09:43.489,79.6,75,254.2,7.651099,,,
02:09:43.544,79.8,75,1174.4,0.089898,,,
02:09:43.600,79.0,72,1180.9,0.054196,,,
02:09:43.603,,,,,True,1,
02:09:43.634,79.1,72,253.3,7.795298,,,
02:09:43.689,79.5,72,1198.7,0.088915,,,
02:09:43.745,79.6,72,1119.4,0.057173,,,
02:09:43.801,87.4,73,1148.6,0.055721,,,
02:09:43.857,87.6,73,1159.2,0.05521,,,
02:09:43.912,87.7,73,1151.5,0.055579,,,
02:09:43.967,88.1,73,1162.2,0.055069,,,
02:09:44.022,86.4,70,1156.8,0.055324,,,
02:09:44.025,,,,,True,1,
02:09:44.056,86.6,70,260.5,8.217302,,,
02:09:44.110,86.8,70,1212.0,0.087359,,,
02:09:44.167,86.8,70,1114.3,0.057437,,,
02:09:44.222,86.8,72,1154.7,0.055426,,,
02:09:44.278,86.9,72,1161.3,0.055111,,,
02:09:44.333,87.1,72,1159.7,0.055188,,,
02:09:44.388,87.1,72,1156.4,0.055344,,,
02:09:44.447,84.1,69,1092.2,0.058597,,,
02:09:44.450,,,,,True,2,
02:09:44.481,84.4,69,520.7,8.641761,,,
02:09:44.534,84.8,69,1208.8,0.087512,,,
02:09:44.589,84.3,69,1162.9,0.055037,,,
02:09:44.592,,,,,True,1,
02:09:44.622,84.4,72,262.7,8.783974,,,
02:09:44.676,84.6,72,1218.3,0.086794,,,
02:09:44.735,84.8,72,1096.1,0.058389,,,
02:09:44.791,92.1,72,1140.2,0.05613,,,
02:09:44.846,92.2,72,1143.6,0.055962,,,
02:09:44.903,92.4,72,1136.2,0.056327,,,
02:09:44.959,93.0,72,1153.5,0.055481,,,
02:09:45.014,93.0,74,1144.4,0.055924,,,
02:09:45.070,93.4,74,1150.6,0.055624,,,
02:09:45.126,93.4,74,1140.1,0.056137,,,
02:09:45.182,93.4,74,1150.2,0.055644,,,
02:09:45.238,91.7,67,1143.1,0.055987,,,
02:09:45.241,,,,,True,1,
02:09:45.272,91.9,67,255.9,9.433251,,,
02:09:45.328,92.1,67,1164.9,0.090103,,,
02:09:45.383,92.1,67,1166.8,0.05485,,,
02:09:45.439,92.4,72,1148.0,0.05575,,,
02:09:45.598,92.7,37,408.3,0.156758,,,
02:09:45.652,93.4,37,1114.7,0.057412,,,
02:09:45.708,93.5,37,1153.5,0.055482,,,
02:09:45.763,93.7,37,1156.6,0.055337,,,
02:09:45.766,,,,,,,fa2e383b622c4145977e7b95bfc02f9e
02:09:45.767,,,,,,,fa4063401534480fb0fe4e1fdf281c13
02:09:45.767,,,,,,,b4885906ae8c49119362593720c71773
02:09:45.767,,,,,,,76cae1907d4b4e1f9ad2eb206631e209
02:09:45.820,99.7,71,1069.5,0.056103,,,
02:09:45.874,99.8,71,1093.9,0.054847,,,
02:09:45.878,,,,,,,353b20355ba44cf8a31f208c534b9079
02:09:45.929,99.5,71,1066.9,0.055299,,,
02:09:45.984,99.8,71,1074.6,0.054906,,,
02:09:46.040,99.8,69,1073.6,0.054958,,,
02:09:46.094,100.0,69,1078.5,0.054707,,,
02:09:46.096,,,,,,,e2fb973179fa4d0c914018d6015a535f
02:09:46.149,99.3,69,1057.3,0.054858,,,
02:09:46.204,99.3,77,1052.3,0.055119,,,
02:09:46.259,99.5,77,1052.1,0.055125,,,
02:09:46.315,99.7,77,1040.2,0.055759,,,
02:09:46.371,99.7,77,1039.5,0.055796,,,
02:09:46.374,,,,,,,3c9fc977aa444e24a9fb0b5191c5f2af
02:09:46.428,99.3,67,989.0,0.057632,,,
02:09:46.484,97.5,67,1024.7,0.055628,,,
02:09:46.487,,,,,False,2,
02:09:46.524,98.8,67,2603.1,0.154364,,,
02:09:46.579,99.5,67,1076.1,0.095001,,,
02:09:46.634,99.7,73,1051.4,0.055165,,,
02:09:46.689,99.8,73,1050.4,0.055216,,,
02:09:46.692,,,,,,,e2fb973179fa4d0c914018d6015a535f
02:09:46.692,,,,,,,3c9fc977aa444e24a9fb0b5191c5f2af
02:09:46.692,,,,,,,da66953849624550849889c4c8cddd86
02:09:46.692,,,,,,,e7040e961445406a939b31624a03233e
02:09:46.693,,,,,,,837caf8403724a5193fdc121f2f6d9e6
02:09:46.693,,,,,,,f7e34a5411574989b7d8426f4f7832ac
02:09:46.693,,,,,,,e4a146edf1f54f30994f69147032f26c
02:09:46.693,,,,,,,9899efcde6f0401fa53ef45b72224d0d
02:09:46.693,,,,,,,c3f726e2d7344a30928f6d38a5e26ff9
02:09:46.742,99.8,73,928.6,0.052766,,,
02:09:46.794,99.8,73,957.1,0.051198,,,
02:09:46.846,100.0,74,934.3,0.052447,,,
02:09:46.848,,,,,,,cbc19069d5a14d31ba5a094fd601bc55
02:09:46.896,99.0,74,948.5,0.050604,,,
02:09:46.947,99.0,74,952.0,0.050423,,,
02:09:46.997,99.0,74,958.3,0.050087,,,
02:09:47.047,99.0,74,950.4,0.050507,,,
02:09:47.097,99.0,74,960.9,0.049952,,,
02:09:47.148,99.0,74,947.8,0.050645,,,
02:09:47.198,99.2,74,955.9,0.050217,,,
02:09:47.248,99.2,74,953.0,0.050369,,,
02:09:47.300,99.5,74,944.6,0.050813,,,
02:09:47.350,99.7,74,943.9,0.050851,,,
02:09:47.353,,,,,,,6899210b71a4434f82b576d423c7c0b4
02:09:47.401,98.8,74,923.0,0.05092,,,
02:09:47.452,98.8,74,929.4,0.050573,,,
02:09:47.502,98.8,74,925.0,0.050811,,,
02:09:47.504,,,,,,,f276fdfd67f6467e8cf337e98d49133e
02:09:47.505,,,,,,,e857624b226b4abfad634606a77799de
02:09:47.505,,,,,,,b257fcbd7b3c44c9a1b89249e184d383
02:09:47.506,,,,,,,16e4db01d16b4514a4bea10ee7990b5f
02:09:47.553,99.5,74,852.1,0.050462,,,
02:09:47.603,99.5,73,860.4,0.049975,,,
02:09:47.652,99.5,73,876.4,0.049066,,,
02:09:47.701,99.5,73,865.6,0.049674,,,
02:09:47.750,99.5,73,875.6,0.049111,,,
02:09:47.800,99.5,74,861.8,0.049893,,,
02:09:47.850,97.4,74,867.5,0.049567,,,
02:09:47.900,97.4,74,832.9,0.050427,,,
02:09:47.949,97.4,74,857.2,0.048999,,,
02:09:47.999,97.4,74,855.1,0.049117,,,
02:09:48.048,97.4,74,851.9,0.0493,,,
02:09:48.097,97.4,74,856.7,0.049026,,,
02:09:48.146,97.4,74,849.8,0.049424,,,
02:09:48.197,97.4,73,851.9,0.049301,,,
02:09:48.246,97.4,73,830.9,0.050545,,,
02:09:48.296,97.4,73,849.8,0.049424,,,
02:09:48.298,,,,,,,184238e93c9c4b68b4aaf428d4aac973
02:09:48.298,,,,,,,fffca875fc3a4fd38993b28d60538500
02:09:48.345,99.3,73,813.7,0.04916,,,
02:09:48.393,99.3,73,829.1,0.048245,,,
02:09:48.442,99.3,73,807.6,0.049528,,,
02:09:48.492,99.3,73,811.0,0.049324,,,
02:09:48.542,99.3,73,791.7,0.050523,,,
02:09:48.591,99.3,73,813.7,0.04916,,,
02:09:48.642,99.3,73,794.6,0.050338,,,
02:09:48.692,96.9,73,796.0,0.050254,,,
02:09:48.741,96.9,73,789.6,0.049393,,,
02:09:48.790,96.9,73,807.8,0.048281,,,
02:09:48.840,96.9,73,778.4,0.0501,,,
02:09:48.888,96.9,73,812.7,0.047987,,,
02:09:48.937,94.4,73,802.3,0.048611,,,
02:09:48.939,,,,,False,1,
02:09:48.997,96.9,80,3843.6,0.699443,,,
02:09:49.045,96.9,80,776.4,0.108772,,,
02:09:49.094,96.9,80,800.2,0.048735,,,
02:09:49.145,96.9,80,769.2,0.050704,,,
02:09:49.147,,,,,,,fffca875fc3a4fd38993b28d60538500
02:09:49.147,,,,,,,282373bc49dd43d59aea21617593d873
02:09:49.193,98.0,80,767.1,0.048237,,,
02:09:49.241,98.0,73,766.1,0.048295,,,
02:09:49.289,98.0,73,775.9,0.047689,,,
02:09:49.337,98.0,73,776.3,0.047659,,,
02:09:49.384,98.0,73,784.2,0.047183,,,
02:09:49.431,98.0,75,784.1,0.047186,,,
02:09:49.479,98.0,75,771.0,0.047988,,,
02:09:49.526,98.0,75,776.4,0.047653,,,
02:09:49.574,98.0,75,779.0,0.047498,,,
02:09:49.622,98.0,77,767.8,0.048187,,,
02:09:49.670,98.0,77,775.8,0.047692,,,
02:09:49.718,98.0,77,774.6,0.047767,,,
02:09:49.765,98.0,77,773.3,0.047848,,,
02:09:49.813,98.0,77,778.6,0.047523,,,
02:09:49.861,98.0,77,763.9,0.048438,,,
02:09:49.909,98.0,77,775.4,0.047718,,,
02:09:49.911,,,,,,,c0d4f4abc649416195e9c397fb1051a6
02:09:49.912,,,,,,,ea86c4025e26438d94f0b27dea889994
02:09:49.955,98.5,77,751.7,0.046559,,,
02:09:49.999,98.5,79,793.7,0.044099,,,
02:09:50.046,98.5,79,755.9,0.046304,,,
02:09:50.095,98.5,79,720.4,0.048585,,,
02:09:50.144,98.5,79,715.4,0.048926,,,
02:09:50.192,98.5,79,722.4,0.048449,,,
02:09:50.242,98.5,76,706.8,0.049522,,,
02:09:50.290,98.5,76,718.8,0.048692,,,
02:09:50.339,98.5,76,716.4,0.048854,,,
02:09:50.388,98.5,76,721.9,0.048484,,,
02:09:50.437,98.5,74,716.5,0.048846,,,
02:09:50.485,98.5,74,719.7,0.048633,,,
02:09:50.534,98.5,74,725.9,0.048215,,,
02:09:50.582,98.5,74,713.2,0.049077,,,
02:09:50.631,98.5,77,719.3,0.048658,,,
02:09:50.680,95.7,77,714.4,0.048989,,,
02:09:50.683,,,,,False,1,
02:09:50.760,98.5,77,3205.0,0.85108,,,
02:09:50.761,,,,,,,ea86c4025e26438d94f0b27dea889994
02:09:50.761,,,,,,,4975611a74ed4297a1c48163f4b96512
02:09:50.808,98.3,85,684.6,0.128388,,,
02:09:50.857,98.3,85,688.7,0.047915,,,
02:09:50.904,98.3,85,689.6,0.047854,,,
02:09:50.952,98.3,85,694.0,0.047548,,,
02:09:50.999,98.3,78,693.2,0.047605,,,
02:09:51.047,98.3,78,693.7,0.047572,,,
02:09:51.094,98.3,78,695.9,0.047419,,,
02:09:51.142,98.3,78,695.1,0.047477,,,
02:09:51.189,98.3,78,700.3,0.04712,,,
02:09:51.239,95.4,75,660.5,0.049962,,,
02:09:51.241,,,,,False,1,
02:09:51.319,98.3,75,3409.3,0.638935,,,
02:09:51.367,98.3,75,690.1,0.127898,,,
02:09:51.417,98.3,84,665.7,0.049575,,,
02:09:51.466,98.3,84,663.3,0.049753,,,
02:09:51.514,98.3,84,692.8,0.047631,,,
02:09:51.562,98.3,84,686.1,0.048096,,,
02:09:51.610,98.3,77,690.7,0.04778,,,
02:09:51.611,,,,,,,4975611a74ed4297a1c48163f4b96512
02:09:51.612,,,,,,,37a94baf4b4c4ed6b01ec610e18abd2a
02:09:51.656,97.5,77,677.7,0.045743,,,
02:09:51.700,94.4,77,692.2,0.044787,,,
02:09:51.703,,,,,False,1,
02:09:51.780,97.5,77,3595.8,0.170902,,,
02:09:51.825,97.5,81,693.4,0.125082,,,
02:09:51.870,97.5,81,685.5,0.045221,,,
02:09:51.916,94.4,81,681.9,0.045458,,,
02:09:51.919,,,,,False,1,
02:09:52.002,97.4,84,3243.8,0.392609,,,
02:09:52.047,97.4,84,696.1,0.130851,,,
02:09:52.092,97.4,84,688.5,0.045022,,,
02:09:52.139,97.4,84,659.3,0.04702,,,
02:09:52.183,97.4,84,696.8,0.04449,,,
02:09:52.227,97.4,75,699.3,0.044333,,,
02:09:52.273,97.4,75,686.3,0.045166,,,
02:09:52.318,97.4,75,691.6,0.044825,,,
02:09:52.362,97.4,75,692.9,0.044741,,,
02:09:52.407,97.5,80,698.0,0.044412,,,
