ts,kv,compute,throughput,ttft,tpot,is_prefill,num_seqs,seq_id
21:45:38.044,,,,,,True,128,
21:45:38.047,,,,,,True,128,
21:45:38.327,9.3,40,2712.8,0.407539,0.0,,,
21:45:38.530,9.3,83,2246.7,0.0,0.202202,,,
21:45:38.627,9.3,21,2921.6,0.0,0.095352,,,
21:45:38.802,9.3,21,2080.4,0.0,0.173274,,,
21:45:38.894,9.3,21,2740.3,0.0,0.090477,,,
21:45:38.989,9.3,54,2997.7,0.0,0.093428,,,
21:45:39.083,9.3,54,2614.1,0.0,0.091935,,,
21:45:39.181,9.3,43,2365.5,0.0,0.096125,,,
21:45:39.280,18.6,43,2423.9,0.0,0.097225,,,
21:45:39.370,18.6,43,2963.1,0.0,0.088334,,,
21:45:39.469,18.6,43,2846.6,0.0,0.097182,,,
21:45:39.560,18.6,50,2602.9,0.0,0.089893,,,
21:45:39.662,18.6,50,2292.5,0.0,0.10017,,,
21:45:39.749,18.6,46,2885.4,0.0,0.08544,,,
21:45:39.799,,,,,,True,1,
21:45:39.838,18.6,46,2920.1,0.0,0.087218,,,
21:45:39.921,18.6,46,2178.5,0.0,0.080724,,,
21:45:40.011,18.6,42,2854.7,0.0,0.088476,,,
21:45:40.168,,,,,,True,1,
21:45:40.208,18.6,25,2854.1,0.0,0.195887,,,
21:45:40.290,18.6,25,2130.4,0.0,0.080623,,,
21:45:40.390,18.6,43,2350.2,0.0,0.097175,,,
21:45:40.474,18.6,43,3127.2,0.0,0.082675,,,
21:45:40.560,18.6,50,2774.7,0.0,0.084034,,,
21:45:40.726,18.6,50,2776.2,0.0,0.16478,,,
21:45:40.829,18.6,25,2436.2,0.0,0.101494,,,
21:45:40.927,23.3,25,2830.7,0.0,0.096639,,,
21:45:41.030,23.3,43,2615.4,0.0,0.101578,,,
21:45:41.131,27.9,43,2813.2,0.0,0.099147,,,
21:45:41.222,27.9,43,2765.9,0.0,0.089922,,,
21:45:41.315,27.8,43,2823.2,0.0,0.090626,,,
21:45:41.320,,,,,,True,1,
21:45:41.380,27.8,49,375.0,3.4514,0.0,,,
21:45:41.485,27.8,49,2938.7,0.0,0.167959,,,
21:45:41.703,27.8,32,1713.3,0.0,0.216287,,,
21:45:41.800,27.8,32,2493.2,0.0,0.094994,,,
21:45:41.891,27.8,32,2764.4,0.0,0.089463,,,
21:45:41.981,27.7,44,2807.6,0.0,0.088085,,,
21:45:41.986,,,,,,True,1,
21:45:42.047,27.7,44,404.5,4.119118,0.0,,,
21:45:42.157,27.7,45,2820.8,0.0,0.17461,,,
21:45:42.256,27.7,45,2492.2,0.0,0.097336,,,
21:45:42.346,27.8,47,2932.4,0.0,0.088289,,,
21:45:42.517,27.8,47,2840.1,0.0,0.169675,,,
21:45:42.619,27.8,26,2388.1,0.0,0.10059,,,
21:45:42.668,,,,,,True,1,
21:45:42.705,27.7,26,3011.4,0.0,0.084904,,,
21:45:42.788,32.4,44,2283.2,0.0,0.080617,,,
21:45:42.880,36.9,44,2810.6,0.0,0.090781,,,
21:45:42.972,36.9,45,2692.6,0.0,0.089937,,,
21:45:43.187,36.9,20,1882.0,0.0,0.21379,,,
21:45:43.237,,,,,,True,1,
21:45:43.274,36.8,20,3067.9,0.0,0.085856,,,
21:45:43.359,36.8,51,2094.2,0.0,0.082719,,,
21:45:43.408,,,,,,True,1,
21:45:43.443,36.7,51,3268.1,0.0,0.082005,,,
21:45:43.525,36.7,51,2148.5,0.0,0.080175,,,
21:45:43.635,36.7,40,2096.7,0.0,0.108871,,,
21:45:43.732,36.8,40,2741.0,0.0,0.095247,,,
21:45:43.841,36.6,43,2335.6,0.0,0.107136,,,
21:45:43.846,,,,,,True,1,
21:45:43.907,36.6,43,418.7,5.978792,0.0,,,
21:45:44.025,36.6,46,2259.1,0.0,0.183052,,,
21:45:44.193,36.7,26,1128.6,0.0,0.166437,,,
21:45:44.280,36.8,26,3011.1,0.0,0.084578,,,
21:45:44.362,36.8,44,3302.9,0.0,0.080581,,,
21:45:44.436,36.8,44,3560.3,0.0,0.073691,,,
21:45:44.487,,,,,,True,1,
21:45:44.518,41.0,44,3495.0,0.0,0.080553,,,
21:45:44.522,,,,,,True,1,
21:45:44.566,41.1,54,300.4,6.638275,0.0,,,
21:45:44.618,,,,,,True,1,
21:45:44.652,41.0,54,3257.4,0.0,0.132477,,,
21:45:44.869,40.9,31,1851.0,0.0,0.215865,,,
21:45:44.875,,,,,,True,1,
21:45:44.941,45.3,31,389.0,7.012531,0.0,,,
21:45:45.051,45.3,31,2608.5,0.0,0.180153,,,
21:45:45.116,,,,,,True,1,
21:45:45.158,45.2,48,2769.1,0.0,0.104487,,,
21:45:45.247,45.2,48,1904.2,0.0,0.087711,,,
21:45:45.343,45.2,44,2560.0,0.0,0.093061,,,
21:45:45.392,,,,,,True,1,
