ts,kv,compute,throughput,ttft,tpot,is_prefill,num_seqs,seq_id
16:04:39.958,,,,,,True,32,
16:04:40.233,1.9,21,707.2,0.400081,0.0,,,
16:04:40.336,1.9,26,2104.4,0.0,0.102926,,,
16:04:40.410,1.9,26,1687.2,0.0,0.073526,,,
16:04:40.501,1.9,26,1439.5,0.0,0.085803,,,
16:04:40.572,1.9,36,1919.3,0.0,0.076674,,,
16:04:40.733,1.9,23,1552.0,0.0,0.16069,,,
16:04:40.814,1.9,23,1514.0,0.0,0.080898,,,
16:04:40.882,1.9,23,1619.7,0.0,0.068925,,,
16:04:40.959,3.7,38,1730.6,0.0,0.076923,,,
16:04:41.041,3.7,38,1795.2,0.0,0.081548,,,
16:04:41.132,3.7,32,1873.5,0.0,0.090619,,,
16:04:41.214,3.7,32,1571.2,0.0,0.082654,,,
16:04:41.307,3.7,32,1592.4,0.0,0.09262,,,
16:04:41.311,,,,,,True,1,
16:04:41.395,3.7,35,407.5,1.559497,0.0,,,
16:04:41.478,3.7,35,1091.2,0.0,0.171473,,,
16:04:41.554,3.7,32,1267.2,0.0,0.076263,,,
16:04:41.630,3.7,32,1437.5,0.0,0.075211,,,
16:04:41.633,,,,,,True,1,
16:04:41.730,3.7,35,183.0,1.894385,0.0,,,
16:04:41.813,3.7,35,1508.2,0.0,0.183097,,,
16:04:41.897,3.7,35,2077.8,0.0,0.084607,,,
16:04:41.974,3.7,32,1573.3,0.0,0.076835,,,
16:04:42.059,3.7,32,1488.4,0.0,0.084406,,,
16:04:42.148,3.7,35,1390.1,0.0,0.089313,,,
16:04:42.225,3.7,35,1998.8,0.0,0.077016,,,
16:04:42.316,3.7,35,1500.5,0.0,0.090465,,,
16:04:42.391,4.1,32,1587.3,0.0,0.074503,,,
16:04:42.480,5.0,32,1730.0,0.0,0.090376,,,
16:04:42.560,5.4,35,1266.8,0.0,0.078976,,,
16:04:42.633,5.5,35,2176.0,0.0,0.073873,,,
16:04:42.714,5.5,35,1610.3,0.0,0.080933,,,
16:04:42.786,5.4,37,2288.3,0.0,0.071745,,,
16:04:42.790,,,,,,True,1,
16:04:42.887,5.4,37,244.2,3.050384,0.0,,,
16:04:42.968,5.4,34,1417.5,0.0,0.181687,,,
16:04:43.050,5.5,34,1421.8,0.0,0.082042,,,
16:04:43.126,5.5,35,1866.6,0.0,0.07649,,,
16:04:43.207,5.5,35,1749.4,0.0,0.080913,,,
16:04:43.273,5.5,35,2044.2,0.0,0.066438,,,
16:04:43.342,5.4,40,2317.2,0.0,0.068545,,,
16:04:43.345,,,,,,True,1,
16:04:43.429,5.4,40,598.9,3.593127,0.0,,,
16:04:43.503,5.3,40,2049.5,0.0,0.1612,,,
16:04:43.598,5.4,31,1420.5,0.0,0.09474,,,
16:04:43.679,5.4,31,1526.1,0.0,0.080834,,,
16:04:43.763,5.4,35,1629.3,0.0,0.0838,,,
16:04:43.846,6.2,35,1694.1,0.0,0.083,,,
16:04:43.931,7.1,33,1460.5,0.0,0.0852,,,
16:04:44.009,7.0,33,1262.2,0.0,0.078159,,,
16:04:44.012,,,,,,True,1,
16:04:44.120,7.1,33,178.9,4.28351,0.0,,,
16:04:44.212,7.1,31,1274.3,0.0,0.202529,,,
16:04:44.291,7.1,31,1493.8,0.0,0.07998,,,
16:04:44.373,7.1,32,1367.9,0.0,0.081808,,,
16:04:44.450,7.1,32,1727.7,0.0,0.076727,,,
16:04:44.541,7.1,32,1725.1,0.0,0.090811,,,
16:04:44.627,7.1,32,1713.0,0.0,0.086845,,,
16:04:44.702,7.1,32,1465.1,0.0,0.074497,,,
16:04:44.810,7.1,35,1612.1,0.0,0.10765,,,
16:04:44.886,7.1,35,1902.7,0.0,0.076309,,,
16:04:44.975,7.1,31,1559.4,0.0,0.089036,,,
16:04:45.052,7.1,31,1561.6,0.0,0.076931,,,
16:04:45.127,7.1,37,2298.7,0.0,0.073729,,,
16:04:45.204,7.1,37,2061.5,0.0,0.077459,,,
16:04:45.286,8.4,37,1707.1,0.0,0.082832,,,
16:04:45.352,8.8,39,2282.9,0.0,0.065877,,,
16:04:45.420,8.8,39,2156.9,0.0,0.068425,,,
16:04:45.498,8.9,39,2217.6,0.0,0.072674,,,
16:04:45.560,8.9,41,1969.7,0.0,0.067708,,,
16:04:45.629,8.9,41,1706.0,0.0,0.067954,,,
16:04:45.700,8.9,41,1775.1,0.0,0.071433,,,
16:04:45.772,8.9,40,1848.4,0.0,0.072292,,,
